Instance,Algorithm,Duration,InfeasibleCount,Obj,FeasibleObj,FeasibleAccObj
n060w4[history-week1.txt][WD-n060w4-1.txt],TSR,183.325,0,178.52,178.52,665.987
n060w4[history-week2.txt][WD-n060w4-5.txt],TSR,178.706,0,2542.37,2542.37,3208.36
n040w8[H0-n040w8-0.txt][WD-n040w8-0.txt],TSR,66.4051,0,118.717,118.717,118.717
n040w8[history-week0.txt][WD-n040w8-6.txt],TSR,88.9794,0,230.757,230.757,349.474
n040w8[history-week1.txt][WD-n040w8-8.txt],TSR,73.5282,0,161.283,161.283,510.757
n040w8[history-week2.txt][WD-n040w8-9.txt],TSR,73.0832,0,160.296,160.296,671.053
n040w8[history-week3.txt][WD-n040w8-2.txt],TSR,83.2034,0,170.164,170.164,841.217
n040w8[history-week4.txt][WD-n040w8-6.txt],TSR,85.5384,0,177.27,177.27,1018.49
n040w8[history-week5.txt][WD-n040w8-6.txt],TSR,96.2156,0,250.526,250.526,1269.01
n040w8[history-week6.txt][WD-n040w8-4.txt],TSR,86.8746,0,2887.89,2887.89,4156.91
n050w4[H0-n050w4-0.txt][WD-n050w4-0.txt],TSR,87.8553,0,43.75,43.75,43.75
n050w4[history-week0.txt][WD-n050w4-4.txt],TSR,137.224,0,148.914,148.914,192.664
n050w4[history-week1.txt][WD-n050w4-8.txt],TSR,126.629,0,258.092,258.092,450.757
n050w4[history-week2.txt][WD-n050w4-7.txt],TSR,120.587,0,1460.63,1460.63,1911.38
n030w8[H0-n030w8-1.txt][WD-n030w8-2.txt],TSR,21.9834,0,95,95,95
n030w8[history-week0.txt][WD-n030w8-7.txt],TSR,50.3809,0,143.092,143.092,238.092
n030w8[history-week1.txt][WD-n030w8-0.txt],TSR,55.4524,0,173.684,173.684,411.776
n030w8[history-week2.txt][WD-n030w8-9.txt],TSR,47.5638,0,140.954,140.954,552.73
n030w8[history-week3.txt][WD-n030w8-3.txt],TSR,48.9501,0,140.23,140.23,692.961
n030w8[history-week4.txt][WD-n030w8-6.txt],TSR,47.3627,0,41.9737,41.9737,734.934
n030w8[history-week5.txt][WD-n030w8-0.txt],TSR,50.5989,0,220.921,220.921,955.855
n030w8[history-week6.txt][WD-n030w8-6.txt],TSR,49.61,0,2181.74,2181.74,3137.6
n040w4[H0-n040w4-0.txt][WD-n040w4-2.txt],TSR,81.8651,0,200.625,200.625,200.625
n040w4[history-week0.txt][WD-n040w4-0.txt],TSR,73.6814,0,137.138,137.138,337.763
n040w4[history-week1.txt][WD-n040w4-6.txt],TSR,82.9315,0,293.158,293.158,630.921
n040w4[history-week2.txt][WD-n040w4-1.txt],TSR,74.4071,0,1364.21,1364.21,1995.13
n030w4[H0-n030w4-1.txt][WD-n030w4-6.txt],TSR,23.3348,0,295,295,295
n030w4[history-week0.txt][WD-n030w4-2.txt],TSR,41.399,0,82.5,82.5,377.5
n030w4[history-week1.txt][WD-n030w4-9.txt],TSR,46.9565,0,339.77,339.77,717.27
n030w4[history-week2.txt][WD-n030w4-1.txt],TSR,47.8638,0,1398.09,1398.09,2115.36
