Instance,Algorithm,Duration,InfeasibleCount,Obj,FeasibleObj,FeasibleAccObj
n120w8[H0-n120w8-0.txt][WD-n120w8-0.txt],TSR,386.922,0,327.56,327.56,327.56
n120w8[history-week0.txt][WD-n120w8-9.txt],TSR,398.997,0,226.458,226.458,554.018
n120w8[history-week1.txt][WD-n120w8-9.txt],TSR,386.338,0,242.857,242.857,796.875
n120w8[history-week2.txt][WD-n120w8-4.txt],TSR,409.652,0,144.494,144.494,941.369
n120w8[history-week3.txt][WD-n120w8-5.txt],TSR,421.029,0,202.887,202.887,1144.26
n120w8[history-week4.txt][WD-n120w8-1.txt],TSR,422.028,0,298.333,298.333,1442.59
n120w8[history-week5.txt][WD-n120w8-0.txt],TSR,396.247,0,335.893,335.893,1778.48
n120w8[history-week6.txt][WD-n120w8-3.txt],TSR,375.428,0,3573.36,3573.36,5351.85
n100w8[H0-n100w8-0.txt][WD-n100w8-0.txt],TSR,329.88,0,85,85,85
n100w8[history-week0.txt][WD-n100w8-1.txt],TSR,355.566,0,144.762,144.762,229.762
n100w8[history-week1.txt][WD-n100w8-7.txt],TSR,333.392,0,155.952,155.952,385.714
n100w8[history-week2.txt][WD-n100w8-8.txt],TSR,362.27,0,86.1905,86.1905,471.905
n100w8[history-week3.txt][WD-n100w8-9.txt],TSR,344.846,0,45.2679,45.2679,517.173
n100w8[history-week4.txt][WD-n100w8-1.txt],TSR,370.475,0,128.065,128.065,645.238
n100w8[history-week5.txt][WD-n100w8-5.txt],TSR,363.354,0,123.512,123.512,768.75
n100w8[history-week6.txt][WD-n100w8-4.txt],TSR,393.597,0,3831.9,3831.9,4600.65
n120w4[H0-n120w4-1.txt][WD-n120w4-4.txt],TSR,457.616,0,318.095,318.095,318.095
n120w4[history-week0.txt][WD-n120w4-6.txt],TSR,375.815,0,318.631,318.631,636.726
n120w4[history-week1.txt][WD-n120w4-2.txt],TSR,369.726,0,99.9107,99.9107,736.637
n120w4[history-week2.txt][WD-n120w4-6.txt],TSR,388.227,0,2619.23,2619.23,3355.86
n080w8[H0-n080w8-1.txt][WD-n080w8-4.txt],TSR,272.101,0,91.1607,91.1607,91.1607
n080w8[history-week0.txt][WD-n080w8-4.txt],TSR,229.253,0,104.881,104.881,196.042
n080w8[history-week1.txt][WD-n080w8-9.txt],TSR,243.45,0,240.774,240.774,436.815
n080w8[history-week2.txt][WD-n080w8-9.txt],TSR,255.19,0,229.345,229.345,666.161
n080w8[history-week3.txt][WD-n080w8-3.txt],TSR,271.779,0,71.3095,71.3095,737.47
n080w8[history-week4.txt][WD-n080w8-6.txt],TSR,261.132,0,145.804,145.804,883.274
n080w8[history-week5.txt][WD-n080w8-0.txt],TSR,246.867,0,215.149,215.149,1098.42
n080w8[history-week6.txt][WD-n080w8-5.txt],TSR,255.956,0,4579.85,4579.85,5678.27
n100w4[H0-n100w4-0.txt][WD-n100w4-1.txt],TSR,388.315,0,74.0476,74.0476,74.0476
n100w4[history-week0.txt][WD-n100w4-1.txt],TSR,339.436,0,70.2381,70.2381,144.286
n100w4[history-week1.txt][WD-n100w4-0.txt],TSR,341.285,0,61.25,61.25,205.536
n100w4[history-week2.txt][WD-n100w4-8.txt],TSR,336.783,0,1977.29,1977.29,2182.83
n060w8[H0-n060w8-0.txt][WD-n060w8-6.txt],TSR,179.041,0,144.732,144.732,144.732
n060w8[history-week0.txt][WD-n060w8-2.txt],TSR,179.552,0,309.107,309.107,453.839
n060w8[history-week1.txt][WD-n060w8-9.txt],TSR,161.291,0,152.976,152.976,606.815
n060w8[history-week2.txt][WD-n060w8-9.txt],TSR,144.413,0,178.601,178.601,785.417
n060w8[history-week3.txt][WD-n060w8-0.txt],TSR,160.871,0,192.173,192.173,977.589
n060w8[history-week4.txt][WD-n060w8-8.txt],TSR,171.388,0,228.304,228.304,1205.89
n060w8[history-week5.txt][WD-n060w8-1.txt],TSR,159.832,0,259.792,259.792,1465.68
n060w8[history-week6.txt][WD-n060w8-3.txt],TSR,155.05,0,2539.26,2539.26,4004.94
n080w4[H0-n080w4-2.txt][WD-n080w4-4.txt],TSR,243.743,0,498.75,498.75,498.75
n080w4[history-week0.txt][WD-n080w4-3.txt],TSR,274.567,0,160.327,160.327,659.077
n080w4[history-week1.txt][WD-n080w4-3.txt],TSR,283.108,0,196.131,196.131,855.208
n080w4[history-week2.txt][WD-n080w4-3.txt],TSR,276.222,0,3382.08,3382.08,4237.29
n050w8[H0-n050w8-1.txt][WD-n050w8-1.txt],TSR,110.176,0,217,217,217
n050w8[history-week0.txt][WD-n050w8-7.txt],TSR,113.858,0,430.031,430.031,647.201
n050w8[history-week1.txt][WD-n050w8-8.txt],TSR,120.575,0,513.651,513.651,1162.4
n050w8[history-week2.txt][WD-n050w8-5.txt],TSR,137.756,0,352.599,352.599,1515
n050w8[history-week3.txt][WD-n050w8-7.txt],TSR,127.197,0,313.224,313.224,1828.22
n050w8[history-week4.txt][WD-n050w8-4.txt],TSR,135.93,0,423.849,423.849,2252.07
n050w8[history-week5.txt][WD-n050w8-1.txt],TSR,129.189,0,299.408,299.408,2551.48
n050w8[history-week6.txt][WD-n050w8-8.txt],TSR,126.68,0,4610.23,4610.23,7161.71
n060w4[H0-n060w4-1.txt][WD-n060w4-6.txt],TSR,201.355,0,191.743,191.743,191.743
n060w4[history-week0.txt][WD-n060w4-1.txt],TSR,179.213,0,295.724,295.724,487.467
