Time,ID,Instance,Obj,Feasible,Validator-Obj
2015-05-24 Sun 10:42:58,0,n120w8,5395,1,0
2015-05-24 Sun 10:43:01,1,n120w8,5400,1,0
2015-05-24 Sun 10:43:04,2,n120w8,5240,1,0
2015-05-24 Sun 10:43:07,3,n120w8,5215,1,0
2015-05-24 Sun 10:43:10,4,n120w8,5170,1,0
2015-05-24 Sun 10:43:13,5,n120w8,5405,1,0
2015-05-24 Sun 10:43:16,6,n120w8,5315,1,0
2015-05-24 Sun 10:43:19,7,n120w8,5480,1,0
2015-05-24 Sun 12:11:40,0,n100w8,4590,1,0
2015-05-24 Sun 12:11:43,1,n100w8,4575,1,0
2015-05-24 Sun 12:11:46,2,n100w8,4555,1,0
2015-05-24 Sun 12:11:49,3,n100w8,4735,1,0
2015-05-24 Sun 12:11:52,4,n100w8,4320,1,0
2015-05-24 Sun 12:11:55,5,n100w8,4765,1,0
2015-05-24 Sun 12:11:58,6,n100w8,4720,1,0
2015-05-24 Sun 12:12:01,7,n100w8,4465,1,0
2015-05-24 Sun 13:27:11,0,n120w4,3340,1,0
2015-05-24 Sun 13:27:14,1,n120w4,3395,1,0
2015-05-24 Sun 13:27:17,2,n120w4,3465,1,0
2015-05-24 Sun 13:27:20,3,n120w4,3335,1,0
2015-05-24 Sun 13:27:23,4,n120w4,3320,1,0
2015-05-24 Sun 13:27:26,5,n120w4,3415,1,0
2015-05-24 Sun 13:27:29,6,n120w4,3390,1,0
2015-05-24 Sun 13:27:32,7,n120w4,3235,1,0
2015-05-24 Sun 14:08:14,0,n080w8,5640,1,0
2015-05-24 Sun 14:08:17,1,n080w8,5860,1,0
2015-05-24 Sun 14:08:20,2,n080w8,5755,1,0
2015-05-24 Sun 14:08:23,3,n080w8,5490,1,0
2015-05-24 Sun 14:08:26,4,n080w8,5610,1,0
2015-05-24 Sun 14:08:29,5,n080w8,5515,1,0
2015-05-24 Sun 14:08:32,6,n080w8,5635,1,0
2015-05-24 Sun 14:08:35,7,n080w8,5625,1,0
2015-05-24 Sun 15:06:08,0,n100w4,2165,1,0
2015-05-24 Sun 15:06:11,1,n100w4,2060,1,0
2015-05-24 Sun 15:06:14,2,n100w4,2145,1,0
2015-05-24 Sun 15:06:17,3,n100w4,2205,1,0
2015-05-24 Sun 15:06:20,4,n100w4,2210,1,0
2015-05-24 Sun 15:06:23,5,n100w4,2255,1,0
2015-05-24 Sun 15:06:26,6,n100w4,2055,1,0
2015-05-24 Sun 15:06:29,7,n100w4,2180,1,0
2015-05-24 Sun 15:38:23,0,n060w8,3900,1,0
2015-05-24 Sun 15:38:26,1,n060w8,3850,1,0
2015-05-24 Sun 15:38:29,2,n060w8,4145,1,0
2015-05-24 Sun 15:38:32,3,n060w8,4070,1,0
2015-05-24 Sun 15:38:35,4,n060w8,4285,1,0
2015-05-24 Sun 15:38:38,5,n060w8,4130,1,0
2015-05-24 Sun 15:38:41,6,n060w8,3970,1,0
2015-05-24 Sun 15:38:44,7,n060w8,4055,1,0
2015-05-24 Sun 16:18:40,0,n080w4,4170,1,0
2015-05-24 Sun 16:18:43,1,n080w4,4215,1,0
2015-05-24 Sun 16:18:46,2,n080w4,4095,1,0
2015-05-24 Sun 16:18:49,3,n080w4,4290,1,0
2015-05-24 Sun 16:18:52,4,n080w4,4215,1,0
2015-05-24 Sun 16:18:55,5,n080w4,4200,1,0
2015-05-24 Sun 16:18:58,6,n080w4,4220,1,0
2015-05-24 Sun 16:19:01,7,n080w4,4165,1,0
2015-05-24 Sun 16:43:13,0,n050w8,7160,1,0
2015-05-24 Sun 16:43:16,1,n050w8,7170,1,0
2015-05-24 Sun 16:43:19,2,n050w8,7195,1,0
2015-05-24 Sun 16:43:22,3,n050w8,7335,1,0
2015-05-24 Sun 16:43:25,4,n050w8,7165,1,0
2015-05-24 Sun 16:43:28,5,n050w8,6925,1,0
2015-05-24 Sun 16:43:31,6,n050w8,6790,1,0
2015-05-24 Sun 16:43:34,7,n050w8,7110,1,0
2015-05-24 Sun 17:13:36,0,n060w4,3180,1,0
2015-05-24 Sun 17:13:39,1,n060w4,3245,1,0
2015-05-24 Sun 17:13:42,2,n060w4,3200,1,0
2015-05-24 Sun 17:13:45,3,n060w4,3215,1,0
2015-05-24 Sun 17:13:48,4,n060w4,3200,1,0
2015-05-24 Sun 17:13:51,5,n060w4,3150,1,0
2015-05-24 Sun 17:13:54,6,n060w4,3195,1,0
2015-05-24 Sun 17:13:57,7,n060w4,3195,1,0
2015-05-24 Sun 17:30:26,0,n040w8,4375,1,0
2015-05-24 Sun 17:30:29,1,n040w8,4045,1,0
2015-05-24 Sun 17:30:32,2,n040w8,4180,1,0
2015-05-24 Sun 17:30:35,3,n040w8,4105,1,0
2015-05-24 Sun 17:30:38,4,n040w8,4320,1,0
2015-05-24 Sun 17:30:41,5,n040w8,4120,1,0
2015-05-24 Sun 17:30:44,6,n040w8,4335,1,0
2015-05-24 Sun 17:30:47,7,n040w8,4160,1,0
2015-05-24 Sun 17:52:01,0,n050w4,1895,1,0
2015-05-24 Sun 17:52:04,1,n050w4,1945,1,0
2015-05-24 Sun 17:52:07,2,n050w4,1890,1,0
2015-05-24 Sun 17:52:10,3,n050w4,1905,1,0
2015-05-24 Sun 17:52:13,4,n050w4,1885,1,0
2015-05-24 Sun 17:52:16,5,n050w4,1940,1,0
2015-05-24 Sun 17:52:19,6,n050w4,1960,1,0
2015-05-24 Sun 17:52:22,7,n050w4,1955,1,0
2015-05-24 Sun 18:04:28,0,n030w8,3120,1,0
2015-05-24 Sun 18:04:31,1,n030w8,3120,1,0
2015-05-24 Sun 18:04:33,2,n030w8,3085,1,0
2015-05-24 Sun 18:04:36,3,n030w8,3150,1,0
2015-05-24 Sun 18:04:39,4,n030w8,3205,1,0
2015-05-24 Sun 18:04:42,5,n030w8,3145,1,0
2015-05-24 Sun 18:04:45,6,n030w8,3090,1,0
2015-05-24 Sun 18:04:48,7,n030w8,3050,1,0
2015-05-24 Sun 18:17:14,0,n040w4,1970,1,0
2015-05-24 Sun 18:17:17,1,n040w4,1950,1,0
2015-05-24 Sun 18:17:20,2,n040w4,1940,1,0
2015-05-24 Sun 18:17:23,3,n040w4,2020,1,0
2015-05-24 Sun 18:17:26,4,n040w4,1985,1,0
2015-05-24 Sun 18:17:29,5,n040w4,2090,1,0
2015-05-24 Sun 18:17:32,6,n040w4,2025,1,0
2015-05-24 Sun 18:17:35,7,n040w4,1990,1,0
2015-05-24 Sun 18:26:22,0,n030w4,2125,1,0
2015-05-24 Sun 18:26:25,1,n030w4,2100,1,0
2015-05-24 Sun 18:26:28,2,n030w4,2110,1,0
2015-05-24 Sun 18:26:31,3,n030w4,2130,1,0
2015-05-24 Sun 18:26:34,4,n030w4,2155,1,0
