Instance,AvgObj,MinObj
n120w8,5351.85,4850
n100w8,4600.65,4140
n120w4,3355.86,3095
n080w8,5678.27,5375
n100w4,2182.83,1970
n060w8,4004.94,3715
n080w4,4237.29,4055
n050w8,7161.71,6790
n060w4,3208.36,3010
n040w8,4156.91,3765
n050w4,1911.38,1730
n030w8,3137.6,2945
n040w4,1995.13,1880
n030w4,2115.36,2010
