Instance,Algorithm,Duration,InfeasibleCount,Obj,FeasibleObj,FeasibleAccObj
n040w8[history-week6.txt][WD-n040w8-2.txt],TSR,79.497,0,2698.26,2698.26,3761.91
n050w4[H0-n050w4-0.txt][WD-n050w4-7.txt],TSR,91.11,0,148.026,148.026,148.026
n050w4[history-week0.txt][WD-n050w4-2.txt],TSR,121.107,0,229.211,229.211,377.237
n050w4[history-week1.txt][WD-n050w4-7.txt],TSR,127.699,0,220.461,220.461,597.697
n050w4[history-week2.txt][WD-n050w4-2.txt],TSR,133.096,0,1349.93,1349.93,1947.63
n030w8[H0-n030w8-1.txt][WD-n030w8-6.txt],TSR,38.5284,0,75,75,75
n030w8[history-week0.txt][WD-n030w8-7.txt],TSR,46.937,0,100.789,100.789,175.789
n030w8[history-week1.txt][WD-n030w8-5.txt],TSR,44.8208,0,137.467,137.467,313.257
n030w8[history-week2.txt][WD-n030w8-3.txt],TSR,46.4687,0,114.441,114.441,427.697
n030w8[history-week3.txt][WD-n030w8-5.txt],TSR,47.2607,0,144.079,144.079,571.776
n030w8[history-week4.txt][WD-n030w8-6.txt],TSR,42.1132,0,67.3026,67.3026,639.079
n030w8[history-week5.txt][WD-n030w8-2.txt],TSR,49.8963,0,154.605,154.605,793.684
n030w8[history-week6.txt][WD-n030w8-9.txt],TSR,49.7211,0,1950.82,1950.82,2744.51
n040w4[H0-n040w4-2.txt][WD-n040w4-6.txt],TSR,74.6282,0,272.928,272.928,272.928
n040w4[history-week0.txt][WD-n040w4-1.txt],TSR,85.4449,0,187.105,187.105,460.033
n040w4[history-week1.txt][WD-n040w4-0.txt],TSR,47.52,0,99.9342,99.9342,559.967
n040w4[history-week2.txt][WD-n040w4-6.txt],TSR,91.1027,0,1635.1,1635.1,2195.07
n030w4[H0-n030w4-1.txt][WD-n030w4-6.txt],TSR,22.4369,0,295,295,295
n030w4[history-week0.txt][WD-n030w4-7.txt],TSR,37.9366,0,113.322,113.322,408.322
n030w4[history-week1.txt][WD-n030w4-5.txt],TSR,50.3461,0,201.447,201.447,609.77
n030w4[history-week2.txt][WD-n030w4-3.txt],TSR,50.3913,0,1629.67,1629.67,2239.44
